TN,FP,FN,TP
1938,183,0,29
1236,0,15,445
1460,1,12,1
1769,297,1,31
1555,4,0,30
1810,7,8,5
1291,6,0,364
1437,0,27,673
1776,23,0,15
2096,7,59,314
2103,20,0,65
1295,12,2,822
1988,21,11,154
2207,1,2,193
1663,0,3,209
2660,0,0,131
1673,42,2,49
1704,0,10,306
1659,11,70,385
1398,0,26,276
1858,0,12,680
,,,
1931,6174,13,2082
5731,103,0,1621
12661,260,2,59
2950,5188,3,386
7002,6,2,839
7633,37,18,2816
8247,0,1301,70
,,,
2037,0,269,0
1973,46,0,189
1917,0,2,98
1994,25,99,21
1259,0,210,5
1481,0,324,1
2494,0,35,0
2982,0,78,3
1792,0,2,0
1509,1,0,184
1504,0,37,0
2260,0,286,0
997,0,695,22
2042,22,1,106
1739,0,1,6
2389,0,95,70
1864,0,6,3
1561,0,210,387
1601,0,702,0
1447,0,684,0
1405,0,1170,0
1316,0,25,27
2709,0,380,0
2706,0,259,137
1676,6,0,379
1798,0,438,0
1135,0,245,0
1341,1,330,1020
902,0,117,811
1500,14,0,552
1201,2,0,398
1898,35,0,355
1559,0,0,73
1770,0,0,188
1720,44,0,615
1379,0,0,77
919,44,0,921
1985,0,8,11
1771,0,12,3
1351,0,3,3
2360,0,2,12
1946,1,0,7
1528,0,91,24
1562,0,3,16
1922,0,299,0
1793,0,143,0
2044,0,439,0
2073,0,127,13
1667,0,2,137
866,682,2,319
1567,0,19,34
1674,0,2,260
1227,1,0,508
,,,
1437,0,27,673
1776,23,0,15
1988,21,11,154
2207,1,2,193
1663,0,3,209
1673,42,2,49
1704,0,10,306
1398,0,26,276
1858,0,12,680
,,,
