"","accelY","accelZ","accelMag","gyroX","risk","step"
"1",7.2058653831,0.9198371768,7.9797653359,0.071411334,0,0
"2",6.664141655,1.6293617487,8.1149563261,-0.0959267989,0,4
"3",7.1423974037,0.1565743983,8.1922975418,-0.0703463331,0,0
"4",10.1625165939,-0.7298821807,11.1840037418,0.0405018851,0,0
"5",10.8153095245,-0.1615141332,12.3250055464,0.1641407311,0,0
"6",12.0015926361,-1.0389894247,13.4528516505,0.6054022908,0,0
"7",17.0172119141,-2.9568014145,17.8499896736,1.0850349665,0,0
"8",17.2345600128,-2.4063959122,18.0542623882,1.7341378927,0,0
"9",11.6695833206,-1.9393670559,12.1513235117,2.523932457,0,0
"10",7.9209284782,-5.567522049,9.7082847845,2.9907746315,0,0
"11",6.2441153526,-7.6184072495,9.851795215,2.9886431694,0,0
"12",7.0397109985,-5.8779768944,9.1737647116,2.4013595581,0,0
"13",9.9837884903,-2.9864397049,10.4984184164,1.9057394266,0,0
"14",14.6323719025,-1.0967692137,15.4999483169,1.7234790325,0,0
"15",14.1755218506,-2.6881101131,16.2872835135,1.0445325375,0,0
"16",7.4841365814,-2.2179377079,11.7308531249,0.4593811631,0,0
"17",3.6440222263,-4.1848473549,8.7011970836,0.089531213,0,0
"18",3.6492612362,-4.3496546745,6.9092301373,-0.2078410834,0,0
"19",4.1141943932,-4.189637661,6.2339368776,-0.6160613298,0,0
"20",4.7045669556,-4.637506485,6.6384250722,-0.9486070871,0,0
"21",5.2310218811,-3.5416350365,6.5210921589,-1.0530599356,0,0
"22",5.5254597664,-1.9925065041,5.911843855,-1.0882331133,0,0
"23",4.3667192459,-1.1223660707,4.5881192738,-1.048796773,0,1
"24",4.1016206741,-1.7188755274,4.6195725221,-1.0829041004,0,0
"25",4.8156356812,-2.345772028,5.5208528722,-1.3035347462,0,0
"26",6.3982944489,-2.8186385632,7.197611455,-1.565734148,0,0
"27",8.1321392059,-3.0394294262,9.0008069842,-1.7948914766,0,0
"28",9.615105629,-2.7782225609,10.2877102762,-1.8194061518,0,0
"29",9.6044769287,-2.695744276,10.2212288093,-1.4921902418,0,0
"30",10.7660617828,-4.0418949127,11.5877034751,-0.9113017917,0,0
"31",11.4225969315,-6.1261606216,12.9639033442,-0.8239024282,0,0
"32",9.4173660278,-5.2540740967,10.9707046897,-0.8814581037,0,0
"33",8.4077157974,-4.5583209991,9.6918384313,-0.8068488836,0,0
"34",8.2578773499,-3.911665678,9.1456316417,-0.5126742125,0,0
"35",9.6883029938,-5.9249787331,11.3961555022,-0.2696605027,0,0
"36",10.0951566696,-6.079308033,11.8170202578,-0.2845821977,0,0
"37",11.7222738266,-6.0954742432,13.2350771379,-0.0767413825,0,0
"38",14.9501609802,-3.8607714176,15.6128605186,0.316557169,0,0
"39",15.6541471481,3.1548395157,16.044720142,-0.367718637,0,0
"40",17.0272407532,5.4236712456,17.926369008,-0.1652070731,0,0
"41",16.8474655151,-0.7610174417,17.4578069761,0.5787560344,0,0
"42",12.8798160553,-1.6271164417,16.1400615524,-0.2121042758,0,0
"43",13.7375326157,-1.313668251,18.619599449,-0.3538624644,0,0
"44",12.3672819138,1.6555572748,15.0349882874,-0.4998838603,0,0
"45",9.8296089172,0.6725513935,10.711718864,-0.5105426311,0,0
"46",8.423283577,-0.616268456,8.4607062057,-0.7375686169,0,0
"47",8.6172800064,-0.005388794,8.6189770885,-0.7951242924,0,0
"48",8.8028945923,0.5969586372,8.9630900211,-1.0626527071,0,0
"49",8.3408050537,-3.3145573139,9.3562532291,-1.3014031649,0,0
"50",7.4576416016,-1.8670674562,8.2078251044,-1.0285458565,0,0
"51",6.3273420334,1.4828164577,7.1682058352,-0.567032516,0,0
"52",6.3800325394,0.5203179717,6.8506187215,-0.3570598662,0,0
"53",6.8594856262,-0.4164340198,7.2013413875,-0.5617030263,0,0
"54",7.4711136818,-1.5488291979,8.2966690182,-0.6299177408,0,0
"55",7.2155952454,-2.7963349819,8.5881018371,-0.364520967,0,0
"56",7.0952453613,-2.5991950035,8.241330302,0.2739231586,0,1
"57",7.6103243828,-1.512005806,8.4829041838,0.4838958383,0,0
"58",10.3401975632,-1.2000545263,11.2587503947,0.21316953,0,0
"59",9.2911787033,0.8834628463,10.1873831713,0.2270256877,0,0
"60",6.7214727402,0.22198838,7.6358625239,0.1641407311,0,0
"61",7.7276802063,-1.1078462601,8.4560740293,0.1374944746,0,0
"62",9.3949127197,-0.5376818776,10.0299630454,0.0117240343,0,0
"63",8.8933067322,0.4061054885,9.5905040506,-0.0639515519,0,0
"64",6.2824354172,0.260608077,7.2910540805,-0.1033876389,0,0
"65",7.1950879097,-1.9559825659,7.9664897032,-0.0309099797,0,0
"66",11.032957077,-3.6625835896,12.066585185,0.1438895315,0,0
"67",13.8574333191,-2.8392956257,14.8827176629,0.4124836922,0,0
"68",14.4470567703,-0.7104226947,15.7220351197,1.0146888494,0,0
