DataRecordNum,Measure,Mine,SVM,NN
100,VEB(G) as VEB,0,18,0
100,VEB(G) as Normal,22,4,22
100,Normal(G) as Normal,1436,1436,1436
100,Normal(G) as VEB,0,0,0
105,VEB(G) as VEB,0,0,0
105,VEB(G) as Normal,0,0,0
105,Normal(G) as Normal,1533,1566,1592
105,Normal(G) as VEB,85,52,26
106,VEB(G) as VEB,0,0,0
106,VEB(G) as Normal,0,0,0
106,Normal(G) as Normal,1020,814,856
106,Normal(G) as VEB,1,207,165
108,VEB(G) as VEB,0,0,0
108,VEB(G) as Normal,1,1,1
108,Normal(G) as Normal,1101,1098,1100
108,Normal(G) as VEB,0,3,1
109,VEB(G) as VEB,0,0,0
109,VEB(G) as Normal,0,0,0
109,Normal(G) as Normal,1591,1568,1573
109,Normal(G) as VEB,0,23,18
113,VEB(G) as VEB,1,0,0
113,VEB(G) as Normal,4,0,0
113,Normal(G) as Normal,1141,1141,1136
113,Normal(G) as VEB,0,0,5
114,VEB(G) as VEB,0,0,0
114,VEB(G) as Normal,6,6,6
114,Normal(G) as Normal,1151,1115,1120
114,Normal(G) as VEB,1,37,32
116,VEB(G) as VEB,0,0,0
116,VEB(G) as Normal,1,1,1
116,Normal(G) as Normal,1431,1345,1359
116,Normal(G) as VEB,15,101,87
118,VEB(G) as VEB,19,16,11
118,VEB(G) as Normal,48,51,56
118,Normal(G) as Normal,1381,1329,1343
118,Normal(G) as VEB,1,53,39
119,VEB(G) as VEB,0,0,0
119,VEB(G) as Normal,0,0,0
119,Normal(G) as Normal,993,803,803
119,Normal(G) as VEB,1,191,191
200,VEB(G) as VEB,1,6,4
200,VEB(G) as Normal,13,8,10
200,Normal(G) as Normal,1079,845,878
200,Normal(G) as VEB,34,268,235
201,VEB(G) as VEB,28,0,0
201,VEB(G) as Normal,37,20,20
201,Normal(G) as Normal,815,817,817
201,Normal(G) as VEB,2,0,0
202,VEB(G) as VEB,1,9,0
202,VEB(G) as Normal,53,27,36
202,Normal(G) as Normal,1247,1069,1235
202,Normal(G) as VEB,1,179,13
203,VEB(G) as VEB,0,0,0
203,VEB(G) as Normal,0,0,0
203,Normal(G) as Normal,1621,1517,1631
203,Normal(G) as VEB,10,114,0
207,VEB(G) as VEB,0,0,0
207,VEB(G) as Normal,0,0,0
207,Normal(G) as Normal,1282,1270,1273
207,Normal(G) as VEB,8,20,17
208,VEB(G) as VEB,0,0,0
208,VEB(G) as Normal,2,2,2
208,Normal(G) as Normal,959,527,533
208,Normal(G) as VEB,33,465,459
209,VEB(G) as VEB,39,0,0
209,VEB(G) as Normal,273,312,312
209,Normal(G) as Normal,1638,1641,1641
209,Normal(G) as VEB,3,0,0
210,VEB(G) as VEB,7,0,0
210,VEB(G) as Normal,5,0,0
210,Normal(G) as Normal,1551,1438,1468
210,Normal(G) as VEB,2,115,85
213,VEB(G) as VEB,5,1,1
213,VEB(G) as Normal,15,19,19
213,Normal(G) as Normal,1678,1502,1517
213,Normal(G) as VEB,2,178,163
214,VEB(G) as VEB,0,0,0
214,VEB(G) as Normal,0,0,0
214,Normal(G) as Normal,1269,1125,1157
214,Normal(G) as VEB,1,145,113
215,VEB(G) as VEB,0,0,0
215,VEB(G) as Normal,2,2,2
215,Normal(G) as Normal,2054,1969,1977
215,Normal(G) as VEB,0,85,77
219,VEB(G) as VEB,0,0,0
219,VEB(G) as Normal,7,7,7
219,Normal(G) as Normal,1288,1263,1266
219,Normal(G) as VEB,4,29,26
220,VEB(G) as VEB,16,9,0
220,VEB(G) as Normal,67,74,83
220,Normal(G) as Normal,1209,1209,1209
220,Normal(G) as VEB,0,0,0
221,VEB(G) as VEB,0,0,0
221,VEB(G) as Normal,0,0,0
221,Normal(G) as Normal,1279,1046,1047
221,Normal(G) as VEB,6,239,238
223,VEB(G) as VEB,5,2,0
223,VEB(G) as Normal,47,49,51
223,Normal(G) as Normal,1281,1120,1285
223,Normal(G) as VEB,4,165,0
228,VEB(G) as VEB,0,0,0
228,VEB(G) as Normal,1,1,1
228,Normal(G) as Normal,1067,892,939
228,Normal(G) as VEB,0,175,128
233,VEB(G) as VEB,0,0,0
233,VEB(G) as Normal,3,3,3
233,Normal(G) as Normal,1443,1072,1080
233,Normal(G) as VEB,1,372,364
