RecordNum | RecordType | TrainingSeconds | WaveletBasis | DecomposeLevel | NumFeatureRatio | NumFeature | Alpha | FP | FN | RI | TOC | ROC | TN | FPR | Se | Precision
106 | 0 | 120 | db8 | 4 | 0.7 | 8 | 0.995 | 40 | 156 | 1135 | 202 | 162 | 1493 | 0.80198019802 | 0.879163439194 | 0.965957446809
106 | 0 | 120 | db8 | 4 | 0.7 | 8 | 0.9973 | 30 | 174 | 1145 | 174 | 144 | 1493 | 0.827586206897 | 0.868081880212 | 0.974468085106
106 | 0 | 180 | db8 | 4 | 0.7 | 8 | 0.995 | 46 | 158 | 1093 | 168 | 122 | 1419 | 0.72619047619 | 0.873701039169 | 0.959613696225
106 | 0 | 180 | db8 | 4 | 0.7 | 8 | 0.9973 | 37 | 164 | 1102 | 153 | 116 | 1419 | 0.758169934641 | 0.870458135861 | 0.967515364355
106 | 0 | 240 | db8 | 4 | 0.7 | 8 | 0.995 | 50 | 141 | 1032 | 189 | 139 | 1362 | 0.73544973545 | 0.879795396419 | 0.953789279113
106 | 0 | 240 | db8 | 4 | 0.7 | 8 | 0.9973 | 39 | 148 | 1043 | 171 | 132 | 1362 | 0.771929824561 | 0.875734676742 | 0.963955637708
106 | 0 | 300 | db8 | 4 | 0.7 | 8 | 0.995 | 57 | 124 | 964 | 212 | 155 | 1300 | 0.731132075472 | 0.886029411765 | 0.94417238002
106 | 0 | 300 | db8 | 4 | 0.7 | 8 | 0.9973 | 46 | 132 | 975 | 193 | 147 | 1300 | 0.761658031088 | 0.880758807588 | 0.954946131244
106 | 0 | 120 | db8 | 4 | 0.8 | 12 | 0.995 | 50 | 85 | 1125 | 283 | 233 | 1493 | 0.82332155477 | 0.929752066116 | 0.957446808511
106 | 0 | 120 | db8 | 4 | 0.8 | 12 | 0.9973 | 44 | 94 | 1131 | 268 | 224 | 1493 | 0.835820895522 | 0.923265306122 | 0.962553191489
106 | 0 | 180 | db8 | 4 | 0.8 | 11 | 0.995 | 53 | 109 | 1086 | 224 | 171 | 1419 | 0.763392857143 | 0.908786610879 | 0.953467954346
106 | 0 | 180 | db8 | 4 | 0.8 | 11 | 0.9973 | 46 | 115 | 1093 | 211 | 165 | 1419 | 0.781990521327 | 0.904801324503 | 0.959613696225
106 | 0 | 240 | db8 | 4 | 0.8 | 11 | 0.995 | 60 | 108 | 1022 | 232 | 172 | 1362 | 0.741379310345 | 0.904424778761 | 0.944547134935
106 | 0 | 240 | db8 | 4 | 0.8 | 11 | 0.9973 | 51 | 113 | 1031 | 218 | 167 | 1362 | 0.766055045872 | 0.901223776224 | 0.952865064695
106 | 0 | 300 | db8 | 4 | 0.8 | 11 | 0.995 | 78 | 118 | 943 | 239 | 161 | 1300 | 0.673640167364 | 0.888784165881 | 0.9236043095
106 | 0 | 300 | db8 | 4 | 0.8 | 11 | 0.9973 | 70 | 123 | 951 | 226 | 156 | 1300 | 0.690265486726 | 0.885474860335 | 0.931439764936
106 | 0 | 120 | db8 | 4 | 0.9 | 18 | 0.995 | 79 | 50 | 1096 | 347 | 268 | 1493 | 0.772334293948 | 0.956369982548 | 0.932765957447
106 | 0 | 120 | db8 | 4 | 0.9 | 18 | 0.9973 | 67 | 57 | 1108 | 328 | 261 | 1493 | 0.795731707317 | 0.951072961373 | 0.942978723404
106 | 0 | 180 | db8 | 4 | 0.9 | 15 | 0.995 | 76 | 93 | 1063 | 263 | 187 | 1419 | 0.71102661597 | 0.91955017301 | 0.933274802458
106 | 0 | 180 | db8 | 4 | 0.9 | 15 | 0.9973 | 68 | 98 | 1071 | 250 | 182 | 1419 | 0.728 | 0.916167664671 | 0.940298507463
106 | 0 | 240 | db8 | 4 | 0.9 | 14 | 0.995 | 66 | 79 | 1016 | 267 | 201 | 1362 | 0.752808988764 | 0.927853881279 | 0.939001848429
106 | 0 | 240 | db8 | 4 | 0.9 | 14 | 0.9973 | 56 | 84 | 1026 | 252 | 196 | 1362 | 0.777777777778 | 0.924324324324 | 0.948243992606
106 | 0 | 300 | db8 | 4 | 0.9 | 14 | 0.995 | 74 | 71 | 947 | 282 | 208 | 1300 | 0.737588652482 | 0.93025540275 | 0.927522037218
106 | 0 | 300 | db8 | 4 | 0.9 | 14 | 0.9973 | 61 | 75 | 960 | 265 | 204 | 1300 | 0.769811320755 | 0.927536231884 | 0.940254652302
106 | 1 | 120 | db8 | 4 | 0.7 | 6 | 0.995 | 65 | 116 | 1110 | 267 | 202 | 1493 | 0.756554307116 | 0.905383360522 | 0.944680851064
106 | 1 | 120 | db8 | 4 | 0.7 | 6 | 0.9973 | 57 | 123 | 1118 | 252 | 195 | 1493 | 0.77380952381 | 0.90088638195 | 0.951489361702
106 | 1 | 180 | db8 | 4 | 0.7 | 12 | 0.995 | 71 | 53 | 1068 | 298 | 227 | 1419 | 0.761744966443 | 0.952720785013 | 0.937664618086
106 | 1 | 180 | db8 | 4 | 0.7 | 12 | 0.9973 | 66 | 66 | 1073 | 280 | 214 | 1419 | 0.764285714286 | 0.942054433714 | 0.942054433714
106 | 1 | 240 | db8 | 4 | 0.7 | 12 | 0.995 | 113 | 41 | 969 | 352 | 239 | 1362 | 0.678977272727 | 0.959405940594 | 0.895563770795
106 | 1 | 240 | db8 | 4 | 0.7 | 12 | 0.9973 | 101 | 47 | 981 | 334 | 233 | 1362 | 0.697604790419 | 0.954280155642 | 0.906654343808
106 | 1 | 300 | db8 | 4 | 0.7 | 12 | 0.995 | 122 | 30 | 899 | 371 | 249 | 1300 | 0.67115902965 | 0.967707212056 | 0.880509304603
106 | 1 | 300 | db8 | 4 | 0.7 | 12 | 0.9973 | 108 | 37 | 913 | 350 | 242 | 1300 | 0.691428571429 | 0.961052631579 | 0.894221351616
106 | 1 | 120 | db8 | 4 | 0.8 | 9 | 0.995 | 110 | 63 | 1065 | 365 | 255 | 1493 | 0.698630136986 | 0.94414893617 | 0.906382978723
106 | 1 | 120 | db8 | 4 | 0.8 | 9 | 0.9973 | 98 | 71 | 1077 | 345 | 247 | 1493 | 0.715942028986 | 0.938153310105 | 0.916595744681
106 | 1 | 180 | db8 | 4 | 0.8 | 15 | 0.995 | 92 | 44 | 1047 | 328 | 236 | 1419 | 0.719512195122 | 0.959670027498 | 0.91922739245
106 | 1 | 180 | db8 | 4 | 0.8 | 15 | 0.9973 | 85 | 53 | 1054 | 312 | 227 | 1419 | 0.727564102564 | 0.952122854562 | 0.925373134328
106 | 1 | 240 | db8 | 4 | 0.8 | 15 | 0.995 | 113 | 21 | 969 | 372 | 259 | 1362 | 0.69623655914 | 0.978787878788 | 0.895563770795
106 | 1 | 240 | db8 | 4 | 0.8 | 15 | 0.9973 | 106 | 25 | 976 | 361 | 255 | 1362 | 0.706371191136 | 0.975024975025 | 0.902033271719
106 | 1 | 300 | db8 | 4 | 0.8 | 15 | 0.995 | 124 | 14 | 897 | 389 | 265 | 1300 | 0.681233933162 | 0.984632272228 | 0.878550440744
106 | 1 | 300 | db8 | 4 | 0.8 | 15 | 0.9973 | 119 | 19 | 902 | 379 | 260 | 1300 | 0.686015831135 | 0.979370249729 | 0.883447600392
106 | 1 | 120 | db8 | 4 | 0.9 | 14 | 0.995 | 114 | 40 | 1061 | 392 | 278 | 1493 | 0.709183673469 | 0.963669391462 | 0.902978723404
106 | 1 | 120 | db8 | 4 | 0.9 | 14 | 0.9973 | 102 | 44 | 1073 | 376 | 274 | 1493 | 0.728723404255 | 0.9606087735 | 0.913191489362
106 | 1 | 180 | db8 | 4 | 0.9 | 21 | 0.995 | 145 | 16 | 994 | 409 | 264 | 1419 | 0.645476772616 | 0.984158415842 | 0.872695346795
106 | 1 | 180 | db8 | 4 | 0.9 | 21 | 0.9973 | 138 | 19 | 1001 | 399 | 261 | 1419 | 0.654135338346 | 0.98137254902 | 0.878841088674
106 | 1 | 240 | db8 | 4 | 0.9 | 21 | 0.995 | 167 | 8 | 915 | 439 | 272 | 1362 | 0.619589977221 | 0.991332611051 | 0.845656192237
106 | 1 | 240 | db8 | 4 | 0.9 | 21 | 0.9973 | 162 | 11 | 920 | 431 | 269 | 1362 | 0.624129930394 | 0.988184747583 | 0.850277264325
106 | 1 | 300 | db8 | 4 | 0.9 | 22 | 0.995 | 180 | 7 | 841 | 452 | 272 | 1300 | 0.601769911504 | 0.991745283019 | 0.823702252693
106 | 1 | 300 | db8 | 4 | 0.9 | 22 | 0.9973 | 171 | 8 | 850 | 442 | 271 | 1300 | 0.613122171946 | 0.990675990676 | 0.832517140059
116 | 0 | 120 | db8 | 4 | 0.7 | 6 | 0.995 | 680 | 0 | 996 | 776 | 96 | 1772 | 0.123711340206 | 1.0 | 0.594272076372
116 | 0 | 120 | db8 | 4 | 0.7 | 6 | 0.9973 | 651 | 0 | 1025 | 747 | 96 | 1772 | 0.128514056225 | 1.0 | 0.611575178998
116 | 0 | 180 | db8 | 4 | 0.7 | 5 | 0.995 | 596 | 0 | 1004 | 689 | 93 | 1693 | 0.134978229318 | 1.0 | 0.6275
116 | 0 | 180 | db8 | 4 | 0.7 | 5 | 0.9973 | 553 | 0 | 1047 | 646 | 93 | 1693 | 0.143962848297 | 1.0 | 0.654375
116 | 0 | 240 | db8 | 4 | 0.7 | 5 | 0.995 | 630 | 0 | 891 | 722 | 92 | 1613 | 0.127423822715 | 1.0 | 0.585798816568
116 | 0 | 240 | db8 | 4 | 0.7 | 5 | 0.9973 | 593 | 0 | 928 | 685 | 92 | 1613 | 0.134306569343 | 1.0 | 0.610124917817
116 | 0 | 300 | db8 | 4 | 0.7 | 5 | 0.995 | 525 | 0 | 921 | 612 | 87 | 1533 | 0.142156862745 | 1.0 | 0.636929460581
116 | 0 | 300 | db8 | 4 | 0.7 | 5 | 0.9973 | 490 | 0 | 956 | 577 | 87 | 1533 | 0.150779896014 | 1.0 | 0.661134163209
116 | 0 | 120 | db8 | 4 | 0.8 | 7 | 0.995 | 686 | 0 | 990 | 782 | 96 | 1772 | 0.122762148338 | 1.0 | 0.590692124105
