RecordNum | RecordType | TrainingSeconds | WaveletBasis | DecomposeLevel | NumFeatureRatio | NumFeature | Alpha | FP | FN | RI | TOC | ROC | TN | FPR | Se | Precision
106 | 0 | 120 | db8 | 4 | 0.7 | 8 | 0.95 | 112 | 99 | 1063 | 331 | 219 | 1493 | 0.66163141994 | 0.914802065404 | 0.904680851064
106 | 0 | 120 | db8 | 4 | 0.7 | 8 | 0.975 | 83 | 118 | 1092 | 283 | 200 | 1493 | 0.706713780919 | 0.902479338843 | 0.929361702128
106 | 0 | 180 | db8 | 4 | 0.7 | 8 | 0.95 | 110 | 113 | 1029 | 277 | 167 | 1419 | 0.602888086643 | 0.901050788091 | 0.90342405619
106 | 0 | 180 | db8 | 4 | 0.7 | 8 | 0.975 | 85 | 123 | 1054 | 242 | 157 | 1419 | 0.648760330579 | 0.895497026338 | 0.925373134328
106 | 0 | 240 | db8 | 4 | 0.7 | 8 | 0.95 | 121 | 93 | 961 | 308 | 187 | 1362 | 0.607142857143 | 0.911764705882 | 0.888170055453
106 | 0 | 240 | db8 | 4 | 0.7 | 8 | 0.975 | 89 | 109 | 993 | 260 | 171 | 1362 | 0.657692307692 | 0.90108892922 | 0.917744916821
106 | 0 | 300 | db8 | 4 | 0.7 | 8 | 0.95 | 140 | 79 | 881 | 340 | 200 | 1300 | 0.588235294118 | 0.917708333333 | 0.862879529873
106 | 0 | 300 | db8 | 4 | 0.7 | 8 | 0.975 | 101 | 97 | 920 | 283 | 182 | 1300 | 0.643109540636 | 0.904621435595 | 0.901077375122
106 | 0 | 120 | db8 | 4 | 0.8 | 12 | 0.95 | 120 | 54 | 1055 | 384 | 264 | 1493 | 0.6875 | 0.95130748422 | 0.897872340426
106 | 0 | 120 | db8 | 4 | 0.8 | 12 | 0.975 | 94 | 66 | 1081 | 346 | 252 | 1493 | 0.728323699422 | 0.94245858762 | 0.92
106 | 0 | 180 | db8 | 4 | 0.8 | 11 | 0.95 | 90 | 80 | 1049 | 290 | 200 | 1419 | 0.689655172414 | 0.929140832595 | 0.920983318701
106 | 0 | 180 | db8 | 4 | 0.8 | 11 | 0.975 | 76 | 88 | 1063 | 268 | 192 | 1419 | 0.716417910448 | 0.923544743701 | 0.933274802458
106 | 0 | 240 | db8 | 4 | 0.8 | 11 | 0.95 | 120 | 75 | 962 | 325 | 205 | 1362 | 0.630769230769 | 0.927675988428 | 0.889094269871
106 | 0 | 240 | db8 | 4 | 0.8 | 11 | 0.975 | 95 | 84 | 987 | 291 | 196 | 1362 | 0.6735395189 | 0.921568627451 | 0.912199630314
106 | 0 | 300 | db8 | 4 | 0.8 | 11 | 0.95 | 153 | 75 | 868 | 357 | 204 | 1300 | 0.571428571429 | 0.92046659597 | 0.850146914789
106 | 0 | 300 | db8 | 4 | 0.8 | 11 | 0.975 | 122 | 90 | 899 | 311 | 189 | 1300 | 0.607717041801 | 0.908998988878 | 0.880509304603
106 | 0 | 120 | db8 | 4 | 0.9 | 18 | 0.95 | 153 | 26 | 1022 | 445 | 292 | 1493 | 0.656179775281 | 0.975190839695 | 0.869787234043
106 | 0 | 120 | db8 | 4 | 0.9 | 18 | 0.975 | 119 | 32 | 1056 | 405 | 286 | 1493 | 0.706172839506 | 0.970588235294 | 0.898723404255
106 | 0 | 180 | db8 | 4 | 0.9 | 15 | 0.95 | 130 | 70 | 1009 | 340 | 210 | 1419 | 0.617647058824 | 0.935125115848 | 0.885864793679
106 | 0 | 180 | db8 | 4 | 0.9 | 15 | 0.975 | 101 | 76 | 1038 | 305 | 204 | 1419 | 0.668852459016 | 0.931777378815 | 0.91132572432
106 | 0 | 240 | db8 | 4 | 0.9 | 14 | 0.95 | 133 | 57 | 949 | 356 | 223 | 1362 | 0.626404494382 | 0.943339960239 | 0.87707948244
106 | 0 | 240 | db8 | 4 | 0.9 | 14 | 0.975 | 106 | 66 | 976 | 320 | 214 | 1362 | 0.66875 | 0.936660268714 | 0.902033271719
106 | 0 | 300 | db8 | 4 | 0.9 | 14 | 0.95 | 152 | 50 | 869 | 381 | 229 | 1300 | 0.601049868766 | 0.945593035909 | 0.851126346719
106 | 0 | 300 | db8 | 4 | 0.9 | 14 | 0.975 | 124 | 56 | 897 | 347 | 223 | 1300 | 0.64265129683 | 0.941238195173 | 0.878550440744
106 | 1 | 120 | db8 | 4 | 0.7 | 6 | 0.95 | 152 | 42 | 1023 | 428 | 276 | 1493 | 0.644859813084 | 0.960563380282 | 0.870638297872
