RecordNum | RecordType | TrainingSeconds | WaveletBasis | DecomposeLevel | NumFeatureRatio | NumFeature | Alpha | FP | FN | RI | TOC | ROC | TN | FPR | Se | Precision
106 | 0 | 120 | db8 | 4 | 0.8 | 12 | 0.9973 | 3 | 107 | 1172 | 214 | 211 | 1493 | 0.985981308411 | 0.916340891321 | 0.997446808511
106 | 0 | 180 | db8 | 4 | 0.8 | 11 | 0.9973 | 3 | 175 | 1136 | 108 | 105 | 1419 | 0.972222222222 | 0.866514111365 | 0.997366110623
106 | 0 | 120 | db8 | 4 | 0.9 | 18 | 0.9973 | 9 | 79 | 1166 | 248 | 239 | 1493 | 0.963709677419 | 0.936546184739 | 0.992340425532
106 | 0 | 180 | db8 | 4 | 0.9 | 15 | 0.9973 | 9 | 148 | 1130 | 141 | 132 | 1419 | 0.936170212766 | 0.884194053208 | 0.99209833187
106 | 1 | 120 | db8 | 4 | 0.8 | 9 | 0.9973 | 70 | 94 | 1105 | 294 | 224 | 1493 | 0.761904761905 | 0.921601334445 | 0.940425531915
106 | 1 | 180 | db8 | 4 | 0.8 | 15 | 0.9973 | 23 | 39 | 1116 | 264 | 241 | 1419 | 0.912878787879 | 0.966233766234 | 0.979806848112
106 | 1 | 120 | db8 | 4 | 0.9 | 14 | 0.9973 | 72 | 32 | 1103 | 358 | 286 | 1493 | 0.798882681564 | 0.971806167401 | 0.938723404255
106 | 1 | 180 | db8 | 4 | 0.9 | 21 | 0.9973 | 33 | 25 | 1106 | 288 | 255 | 1419 | 0.885416666667 | 0.977895667551 | 0.971027216857
116 | 0 | 120 | db8 | 4 | 0.8 | 7 | 0.9973 | 168 | 0 | 1508 | 264 | 96 | 1772 | 0.363636363636 | 1.0 | 0.899761336516
116 | 0 | 180 | db8 | 4 | 0.8 | 6 | 0.9973 | 152 | 0 | 1448 | 245 | 93 | 1693 | 0.379591836735 | 1.0 | 0.905
116 | 0 | 120 | db8 | 4 | 0.9 | 10 | 0.9973 | 209 | 0 | 1467 | 305 | 96 | 1772 | 0.314754098361 | 1.0 | 0.875298329356
116 | 0 | 180 | db8 | 4 | 0.9 | 9 | 0.9973 | 185 | 0 | 1415 | 278 | 93 | 1693 | 0.334532374101 | 1.0 | 0.884375
116 | 1 | 120 | db8 | 4 | 0.8 | 4 | 0.9973 | 4 | 47 | 1672 | 53 | 49 | 1772 | 0.924528301887 | 0.972658522397 | 0.997613365155
116 | 1 | 180 | db8 | 4 | 0.8 | 4 | 0.9973 | 17 | 38 | 1583 | 72 | 55 | 1693 | 0.763888888889 | 0.976557680444 | 0.989375
116 | 1 | 120 | db8 | 4 | 0.9 | 10 | 0.9973 | 43 | 50 | 1633 | 89 | 46 | 1772 | 0.516853932584 | 0.970291146762 | 0.974343675418
116 | 1 | 180 | db8 | 4 | 0.9 | 10 | 0.9973 | 77 | 39 | 1523 | 131 | 54 | 1693 | 0.412213740458 | 0.975032010243 | 0.951875
119 | 0 | 120 | db8 | 4 | 0.8 | 12 | 0.9973 | 1 | 0 | 1135 | 339 | 338 | 1474 | 0.997050147493 | 1.0 | 0.99911971831
119 | 0 | 180 | db8 | 4 | 0.8 | 12 | 0.9973 | 1 | 0 | 1083 | 324 | 323 | 1407 | 0.996913580247 | 1.0 | 0.999077490775
119 | 0 | 120 | db8 | 4 | 0.9 | 18 | 0.9973 | 2 | 0 | 1134 | 340 | 338 | 1474 | 0.994117647059 | 1.0 | 0.99823943662
119 | 0 | 180 | db8 | 4 | 0.9 | 18 | 0.9973 | 2 | 0 | 1082 | 325 | 323 | 1407 | 0.993846153846 | 1.0 | 0.99815498155
119 | 1 | 120 | db8 | 4 | 0.8 | 8 | 0.9973 | 17 | 1 | 1119 | 354 | 337 | 1474 | 0.95197740113 | 0.999107142857 | 0.985035211268
119 | 1 | 180 | db8 | 4 | 0.8 | 8 | 0.9973 | 17 | 1 | 1067 | 339 | 322 | 1407 | 0.949852507375 | 0.999063670412 | 0.984317343173
119 | 1 | 120 | db8 | 4 | 0.9 | 13 | 0.9973 | 29 | 0 | 1107 | 367 | 338 | 1474 | 0.920980926431 | 1.0 | 0.974471830986
119 | 1 | 180 | db8 | 4 | 0.9 | 13 | 0.9973 | 31 | 1 | 1053 | 353 | 322 | 1407 | 0.912181303116 | 0.999051233397 | 0.971402214022
203 | 0 | 120 | db8 | 4 | 0.8 | 11 | 0.9973 | 70 | 36 | 1814 | 371 | 301 | 2221 | 0.811320754717 | 0.980540540541 | 0.962845010616
203 | 0 | 180 | db8 | 4 | 0.8 | 11 | 0.9973 | 59 | 42 | 1736 | 345 | 286 | 2123 | 0.828985507246 | 0.976377952756 | 0.96713091922
203 | 0 | 120 | db8 | 4 | 0.9 | 17 | 0.9973 | 85 | 30 | 1799 | 392 | 307 | 2221 | 0.783163265306 | 0.983597594314 | 0.954883227176
203 | 0 | 180 | db8 | 4 | 0.9 | 17 | 0.9973 | 77 | 48 | 1718 | 357 | 280 | 2123 | 0.78431372549 | 0.97281993205 | 0.957103064067
203 | 1 | 120 | db8 | 4 | 0.8 | 12 | 0.9973 | 231 | 195 | 1653 | 373 | 142 | 2221 | 0.380697050938 | 0.894480519481 | 0.877388535032
203 | 1 | 180 | db8 | 4 | 0.8 | 13 | 0.9973 | 268 | 182 | 1527 | 414 | 146 | 2123 | 0.352657004831 | 0.893504973669 | 0.85069637883
203 | 1 | 120 | db8 | 4 | 0.9 | 18 | 0.9973 | 311 | 151 | 1573 | 497 | 186 | 2221 | 0.374245472837 | 0.912412993039 | 0.834925690021
203 | 1 | 180 | db8 | 4 | 0.9 | 20 | 0.9973 | 344 | 136 | 1451 | 536 | 192 | 2123 | 0.358208955224 | 0.914303717706 | 0.808356545961
208 | 0 | 120 | db8 | 4 | 0.8 | 10 | 0.9973 | 6 | 73 | 1148 | 666 | 660 | 1887 | 0.990990990991 | 0.940212940213 | 0.994800693241
208 | 0 | 180 | db8 | 4 | 0.8 | 10 | 0.9973 | 7 | 66 | 1100 | 636 | 629 | 1802 | 0.988993710692 | 0.943396226415 | 0.993676603433
208 | 0 | 120 | db8 | 4 | 0.9 | 12 | 0.9973 | 21 | 61 | 1133 | 693 | 672 | 1887 | 0.969696969697 | 0.948911222781 | 0.981802426343
208 | 0 | 180 | db8 | 4 | 0.9 | 12 | 0.9973 | 23 | 56 | 1084 | 662 | 639 | 1802 | 0.965256797583 | 0.950877192982 | 0.979223125565
208 | 1 | 120 | db8 | 4 | 0.8 | 10 | 0.9973 | 47 | 348 | 1107 | 432 | 385 | 1887 | 0.891203703704 | 0.760824742268 | 0.959272097054
208 | 1 | 180 | db8 | 4 | 0.8 | 10 | 0.9973 | 72 | 228 | 1035 | 539 | 467 | 1802 | 0.866419294991 | 0.819477434679 | 0.934959349593
208 | 1 | 120 | db8 | 4 | 0.9 | 15 | 0.9973 | 94 | 352 | 1060 | 475 | 381 | 1887 | 0.802105263158 | 0.750708215297 | 0.918544194107
208 | 1 | 180 | db8 | 4 | 0.9 | 15 | 0.9973 | 104 | 151 | 1003 | 648 | 544 | 1802 | 0.83950617284 | 0.869150779896 | 0.906052393857
210 | 0 | 120 | db8 | 4 | 0.8 | 9 | 0.9973 | 46 | 15 | 1750 | 174 | 128 | 1939 | 0.735632183908 | 0.991501416431 | 0.97438752784
210 | 0 | 180 | db8 | 4 | 0.8 | 12 | 0.9973 | 46 | 21 | 1673 | 158 | 112 | 1852 | 0.708860759494 | 0.987603305785 | 0.973240255963
210 | 0 | 120 | db8 | 4 | 0.9 | 16 | 0.9973 | 79 | 13 | 1717 | 209 | 130 | 1939 | 0.622009569378 | 0.992485549133 | 0.956013363029
210 | 0 | 180 | db8 | 4 | 0.9 | 18 | 0.9973 | 65 | 12 | 1654 | 186 | 121 | 1852 | 0.650537634409 | 0.992797118848 | 0.962187318208
210 | 1 | 120 | db8 | 4 | 0.8 | 14 | 0.9973 | 103 | 13 | 1693 | 233 | 130 | 1939 | 0.557939914163 | 0.992379835873 | 0.942650334076
210 | 1 | 180 | db8 | 4 | 0.8 | 12 | 0.9973 | 49 | 20 | 1670 | 162 | 113 | 1852 | 0.697530864198 | 0.988165680473 | 0.971495055265
210 | 1 | 120 | db8 | 4 | 0.9 | 19 | 0.9973 | 100 | 13 | 1696 | 230 | 130 | 1939 | 0.565217391304 | 0.992393212405 | 0.944320712695
210 | 1 | 180 | db8 | 4 | 0.9 | 15 | 0.9973 | 60 | 22 | 1659 | 171 | 111 | 1852 | 0.649122807018 | 0.986912552052 | 0.965095986038
213 | 0 | 180 | db8 | 4 | 0.8 | 13 | 0.9973 | 297 | 0 | 1534 | 468 | 171 | 2002 | 0.365384615385 | 1.0 | 0.837793555434
213 | 0 | 180 | db8 | 4 | 0.9 | 21 | 0.9973 | 327 | 0 | 1504 | 498 | 171 | 2002 | 0.343373493976 | 1.0 | 0.821409066084
213 | 1 | 180 | db8 | 4 | 0.8 | 9 | 0.9973 | 36 | 1 | 1795 | 206 | 170 | 2002 | 0.825242718447 | 0.999443207127 | 0.98033861278
213 | 1 | 180 | db8 | 4 | 0.9 | 16 | 0.9973 | 132 | 1 | 1699 | 302 | 170 | 2002 | 0.562913907285 | 0.999411764706 | 0.92790824686
215 | 0 | 120 | db8 | 4 | 0.8 | 11 | 0.9973 | 17 | 4 | 2361 | 123 | 106 | 2488 | 0.861788617886 | 0.998308668076 | 0.992851135408
215 | 0 | 180 | db8 | 4 | 0.8 | 11 | 0.9973 | 18 | 2 | 2255 | 116 | 98 | 2373 | 0.844827586207 | 0.999113867966 | 0.992080950286
215 | 0 | 120 | db8 | 4 | 0.9 | 17 | 0.9973 | 22 | 2 | 2356 | 130 | 108 | 2488 | 0.830769230769 | 0.999151823579 | 0.990748528175
215 | 0 | 180 | db8 | 4 | 0.9 | 18 | 0.9973 | 37 | 2 | 2236 | 135 | 98 | 2373 | 0.725925925926 | 0.999106344951 | 0.983721953366
215 | 1 | 120 | db8 | 4 | 0.8 | 12 | 0.9973 | 97 | 25 | 2281 | 182 | 85 | 2488 | 0.467032967033 | 0.989158716392 | 0.95920941968
215 | 1 | 180 | db8 | 4 | 0.8 | 12 | 0.9973 | 90 | 15 | 2183 | 175 | 85 | 2373 | 0.485714285714 | 0.993175614195 | 0.96040475143
215 | 1 | 120 | db8 | 4 | 0.9 | 20 | 0.9973 | 159 | 20 | 2219 | 249 | 90 | 2488 | 0.361445783133 | 0.991067440822 | 0.933137089992
215 | 1 | 180 | db8 | 4 | 0.9 | 20 | 0.9973 | 129 | 17 | 2144 | 212 | 83 | 2373 | 0.391509433962 | 0.992133271634 | 0.943246810383
219 | 0 | 120 | db8 | 4 | 0.8 | 9 | 0.9973 | 630 | 0 | 886 | 672 | 42 | 1558 | 0.0625 | 1.0 | 0.584432717678
219 | 0 | 180 | db8 | 4 | 0.8 | 9 | 0.9973 | 674 | 0 | 768 | 715 | 41 | 1483 | 0.0573426573427 | 1.0 | 0.532593619972
219 | 0 | 120 | db8 | 4 | 0.9 | 13 | 0.9973 | 666 | 0 | 850 | 708 | 42 | 1558 | 0.0593220338983 | 1.0 | 0.560686015831
219 | 0 | 180 | db8 | 4 | 0.9 | 13 | 0.9973 | 716 | 0 | 726 | 757 | 41 | 1483 | 0.0541611624835 | 1.0 | 0.50346740638
219 | 1 | 120 | db8 | 4 | 0.8 | 16 | 0.9973 | 494 | 0 | 1022 | 536 | 42 | 1558 | 0.0783582089552 | 1.0 | 0.674142480211
219 | 1 | 180 | db8 | 4 | 0.8 | 16 | 0.9973 | 453 | 0 | 989 | 494 | 41 | 1483 | 0.082995951417 | 1.0 | 0.685852981969
219 | 1 | 120 | db8 | 4 | 0.9 | 22 | 0.9973 | 482 | 0 | 1034 | 524 | 42 | 1558 | 0.0801526717557 | 1.0 | 0.682058047493
219 | 1 | 180 | db8 | 4 | 0.9 | 22 | 0.9973 | 462 | 0 | 980 | 503 | 41 | 1483 | 0.0815109343936 | 1.0 | 0.679611650485
221 | 0 | 120 | db8 | 4 | 0.8 | 10 | 0.9973 | 0 | 2 | 1481 | 339 | 339 | 1822 | 1.0 | 0.998651382333 | 1.0
221 | 0 | 180 | db8 | 4 | 0.8 | 11 | 0.9973 | 0 | 1 | 1415 | 323 | 323 | 1739 | 1.0 | 0.999293785311 | 1.0
221 | 0 | 120 | db8 | 4 | 0.9 | 14 | 0.9973 | 0 | 1 | 1481 | 340 | 340 | 1822 | 1.0 | 0.999325236167 | 1.0
221 | 0 | 180 | db8 | 4 | 0.9 | 15 | 0.9973 | 0 | 1 | 1415 | 323 | 323 | 1739 | 1.0 | 0.999293785311 | 1.0
221 | 1 | 120 | db8 | 4 | 0.8 | 8 | 0.9973 | 1 | 6 | 1480 | 336 | 335 | 1822 | 0.997023809524 | 0.995962314939 | 0.999324780554
221 | 1 | 180 | db8 | 4 | 0.8 | 12 | 0.9973 | 2 | 3 | 1413 | 323 | 321 | 1739 | 0.993808049536 | 0.997881355932 | 0.998586572438
221 | 1 | 120 | db8 | 4 | 0.9 | 12 | 0.9973 | 2 | 4 | 1479 | 339 | 337 | 1822 | 0.994100294985 | 0.997302764666 | 0.998649561107
221 | 1 | 180 | db8 | 4 | 0.9 | 17 | 0.9973 | 23 | 1 | 1392 | 346 | 323 | 1739 | 0.933526011561 | 0.99928212491 | 0.983745583039
223 | 0 | 120 | db8 | 4 | 0.8 | 14 | 0.9973 | 239 | 5 | 1257 | 599 | 360 | 1861 | 0.601001669449 | 0.996038034865 | 0.840240641711
223 | 0 | 180 | db8 | 4 | 0.8 | 9 | 0.9973 | 144 | 41 | 1291 | 457 | 313 | 1789 | 0.684901531729 | 0.969219219219 | 0.899651567944
223 | 0 | 120 | db8 | 4 | 0.9 | 22 | 0.9973 | 238 | 10 | 1258 | 593 | 355 | 1861 | 0.598650927487 | 0.992113564669 | 0.840909090909
223 | 0 | 180 | db8 | 4 | 0.9 | 19 | 0.9973 | 227 | 4 | 1208 | 577 | 350 | 1789 | 0.606585788562 | 0.996699669967 | 0.84181184669
223 | 1 | 120 | db8 | 4 | 0.8 | 20 | 0.9973 | 267 | 5 | 1229 | 627 | 360 | 1861 | 0.574162679426 | 0.995948136143 | 0.821524064171
223 | 1 | 180 | db8 | 4 | 0.8 | 12 | 0.9973 | 61 | 84 | 1374 | 331 | 270 | 1789 | 0.815709969789 | 0.942386831276 | 0.957491289199
223 | 1 | 120 | db8 | 4 | 0.9 | 28 | 0.9973 | 265 | 7 | 1231 | 623 | 358 | 1861 | 0.574638844302 | 0.994345718901 | 0.822860962567
223 | 1 | 180 | db8 | 4 | 0.9 | 18 | 0.9973 | 83 | 90 | 1352 | 347 | 264 | 1789 | 0.760806916427 | 0.93758668516 | 0.942160278746
228 | 0 | 120 | db8 | 4 | 0.8 | 20 | 0.9973 | 76 | 41 | 1173 | 295 | 219 | 1509 | 0.742372881356 | 0.966227347611 | 0.939151321057
228 | 0 | 180 | db8 | 4 | 0.8 | 18 | 0.9973 | 26 | 35 | 1165 | 239 | 213 | 1439 | 0.891213389121 | 0.970833333333 | 0.978169605374
228 | 0 | 120 | db8 | 4 | 0.9 | 26 | 0.9973 | 94 | 28 | 1155 | 326 | 232 | 1509 | 0.711656441718 | 0.976331360947 | 0.924739791833
228 | 0 | 180 | db8 | 4 | 0.9 | 24 | 0.9973 | 37 | 38 | 1154 | 247 | 210 | 1439 | 0.85020242915 | 0.968120805369 | 0.968933669186
228 | 1 | 120 | db8 | 4 | 0.8 | 10 | 0.9973 | 2 | 49 | 1247 | 213 | 211 | 1509 | 0.990610328638 | 0.962191358025 | 0.998398718975
228 | 1 | 180 | db8 | 4 | 0.8 | 10 | 0.9973 | 2 | 17 | 1189 | 233 | 231 | 1439 | 0.991416309013 | 0.985903814262 | 0.998320738875
228 | 1 | 120 | db8 | 4 | 0.9 | 13 | 0.9973 | 2 | 36 | 1247 | 226 | 224 | 1509 | 0.991150442478 | 0.971940763835 | 0.998398718975
228 | 1 | 180 | db8 | 4 | 0.9 | 13 | 0.9973 | 2 | 12 | 1189 | 238 | 236 | 1439 | 0.991596638655 | 0.990008326395 | 0.998320738875
233 | 0 | 120 | db8 | 4 | 0.8 | 16 | 0.9973 | 9 | 143 | 1649 | 473 | 464 | 2265 | 0.980972515856 | 0.920200892857 | 0.994571773221
